gross_binned,budget_per_minute,likes_per_review,weighted_imdb_score,budget_score_ratio,likes_score_ratio,cluster
50M-100M,774774.7747747748,14.611940298507463,402.5999999999999,14098358.344531419,160.49177696856123,0
50M-100M,724637.6811594203,0.0,911.2,14925370.90666106,0.0,0
50M-100M,155038.75968992247,0.0,1145.4,2898550.3045579265,0.0,3
200M+,611111.1111111111,0.0,1608.0,10999998.625000173,0.0,2
10M-50M,621428.5714285715,0.0,1277.5,11917806.586601837,0.0,3
100M-200M,814159.2920353982,0.0,718.1999999999999,14603172.285210751,0.0,2
10M-50M,694444.4444444445,0.0,1864.2,9615383.382643156,0.0,3
10M-50M,685483.8709677419,0.0,908.8000000000001,13281247.924805012,0.0,3
10M-50M,732758.6206896552,0.0,1450.8,10897434.50032891,0.0,3
10M-50M,794392.5233644859,0.0,1576.1999999999998,11971829.299742352,0.0,3
200M+,721153.8461538461,0.0,1463.2,12096772.24245609,0.0,2
10M-50M,642857.1428571428,0.0,591.3,12328765.434415694,0.0,0
10M-50M,708333.3333333334,0.0,1234.2,12878785.927456679,0.0,3
10M-50M,696721.3114754099,0.0,1642.2,12318838.794371188,0.0,3
200M+,519083.9694656489,0.0,1421.2,8947367.243767468,0.0,2
50M-100M,817307.6923076923,0.0,1011.7,12686565.2706619,0.0,0
200M+,538461.5384615385,0.0,496.0,11290320.759625683,0.0,2
200M+,586206.8965517242,0.0,1671.7,11643834.0213926,0.0,2
200M+,817307.6923076923,0.0,948.0,14166664.305555949,0.0,2
50M-100M,1030927.8350515463,0.0,1349.0,14084505.058520414,0.0,3
50M-100M,787037.0370370371,6.9191176470588225,742.5,15454542.64462861,171.09087798347684,0
200M+,691056.9105691056,0.0,655.1999999999999,10897434.50032891,0.0,2
50M-100M,444444.44444444444,0.0,804.6,11111109.053498322,0.0,0
10M-50M,596330.2752293578,3.9368421052631604,404.20000000000005,15116275.554354522,86.9767239589014,0
10M-50M,976744.1860465116,0.0,676.2,17142853.64431558,0.0,0
200M+,61538.46153846156,0.0,876.3000000000001,1159420.1218231702,0.0,2
50M-100M,666666.6666666666,0.0,1003.0000000000001,13898302.729101231,0.0,0
100M-200M,801980.198019802,0.0,1279.7,12089550.434395457,0.0,2
10M-50M,727272.7272727273,0.0,1093.3999999999999,11267604.046816332,0.0,3
10M-50M,634920.6349206349,0.0,1071.0,11428569.7959186,0.0,3
10M-50M,963855.421686747,0.0,1128.8,11764704.15224939,0.0,3
10M-50M,941176.4705882353,0.0,1296.0,11111109.56790145,0.0,3
200M+,798969.0721649484,0.0,768.0,12109373.10791045,0.0,2
